zip_code,cbsa_sub,area_name,sdda_2023
78212,METRO41700M41700,"San Antonio-New Braunfels, TX HUD Metro FMR Area",0
78222,METRO41700M41700,"San Antonio-New Braunfels, TX HUD Metro FMR Area",0
78264,METRO41700M41700,"San Antonio-New Braunfels, TX HUD Metro FMR Area",0
87015,METRO42140M42140,"Santa Fe, NM MSA",0
78124,METRO41700M41700,"San Antonio-New Braunfels, TX HUD Metro FMR Area",0
33150,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",0
49117,METRO35660M35660,"Niles-Benton Harbor, MI MSA",0
85302,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",0
18015,METRO10900M10900,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",0
18063,METRO10900M10900,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",0
72719,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR MSA",0
38134,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",0
38119,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",0
38058,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",0
29355,METRO24860N45059,"Laurens County, SC HUD Metro FMR Area",0
43081,METRO18140M18140,"Columbus, OH HUD Metro FMR Area",0
43235,METRO18140M18140,"Columbus, OH HUD Metro FMR Area",0
43035,METRO18140M18140,"Columbus, OH HUD Metro FMR Area",0
47874,METRO45460M18121,"Parke County, IN HUD Metro FMR Area",0
47874,METRO45460M45460,"Terre Haute, IN HUD Metro FMR Area",0
70444,METRO25220M25220,"Hammond, LA MSA",0
70443,METRO25220M25220,"Hammond, LA MSA",0
36605,METRO33660M33660,"Mobile, AL HUD Metro FMR Area",0
81501,METRO24300M24300,"Grand Junction, CO MSA",0
66219,METRO28140M28140,"Kansas City, MO-KS HUD Metro FMR Area",0
64156,METRO28140M28140,"Kansas City, MO-KS HUD Metro FMR Area",0
60552,METRO16980MM2050,"DeKalb County, IL HUD Metro FMR Area",0
37325,METRO17420M17420,"Cleveland, TN MSA",0
32696,METRO23540M12075,"Levy County, FL HUD Metro FMR Area",0
72941,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",0
72938,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",0
27403,METRO24660M24660,"Greensboro-High Point, NC HUD Metro FMR Area",0
27262,METRO24660M24660,"Greensboro-High Point, NC HUD Metro FMR Area",0
27215,METRO24660M24660,"Greensboro-High Point, NC HUD Metro FMR Area",0
33514,METRO45540M45540,"The Villages, FL MSA",0
6902,METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",0
54864,METRO20260M20260,"Duluth, MN-WI HUD Metro FMR Area",0
53703,METRO31540M31540,"Madison, WI HUD Metro FMR Area",0
70437,METRO35380M35380,"New Orleans-Metairie, LA HUD Metro FMR Area",0
53706,METRO31540M31540,"Madison, WI HUD Metro FMR Area",0
19541,METRO39740M39740,"Reading, PA MSA",0
98266,METRO13380M13380,"Bellingham, WA MSA",0
71438,METRO10780M10780,"Alexandria, LA MSA",0
18056,METRO39740M39740,"Reading, PA MSA",0
70656,METRO10780M10780,"Alexandria, LA MSA",0
71455,METRO10780M10780,"Alexandria, LA MSA",0
11550,METRO35620MM5380,"Nassau-Suffolk, NY HUD Metro FMR Area",0
21061,METRO12580M12580,"Baltimore-Columbia-Towson, MD MSA",0
49445,METRO34740M34740,"Muskegon, MI MSA",0
53576,METRO27500M27500,"Janesville-Beloit, WI MSA",0
49343,METRO24340N26117,"Montcalm County, MI HUD Metro FMR Area",0
98444,METRO42660MM8200,"Tacoma, WA HUD Metro FMR Area",0
21811,METRO41540N24047,"Worcester County, MD HUD Metro FMR Area",0
17406,METRO49620M49620,"York-Hanover, PA MSA",0
98447,METRO42660MM8200,"Tacoma, WA HUD Metro FMR Area",0
17055,METRO49620M49620,"York-Hanover, PA MSA",0
21862,METRO41540N24047,"Worcester County, MD HUD Metro FMR Area",0
77840,METRO17780M17780,"College Station-Bryan, TX MSA",0
30619,METRO12020M12020,"Athens-Clarke County, GA MSA",0
20191,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",0
20851,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",0
80503,METRO14500M14500,"Boulder, CO MSA",0
14072,METRO15380M15380,"Buffalo-Cheektowaga-Niagara Falls, NY MSA",0
7865,METRO10900MM5640,"Warren County, NJ HUD Metro FMR Area",0
80544,METRO14500M14500,"Boulder, CO MSA",0
95037,METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",0
19063,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",0
44039,METRO17460M17460,"Cleveland-Elyria, OH MSA",0
8060,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",0
19040,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",0
8505,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",0
21901,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",0
44140,METRO17460M17460,"Cleveland-Elyria, OH MSA",0
8030,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",0
27127,METRO49180N37057,"Davidson County, NC HUD Metro FMR Area",0
45645,METRO26580M26580,"Huntington-Ashland, WV-KY-OH HUD Metro FMR Area",0
48414,METRO29620M26155,"Shiawassee County, MI HUD Metro FMR Area",0
2767,METRO39300MM1200,"Easton-Raynham, MA HUD Metro FMR Area",0
91950,METRO41740M41740,"San Diego-Carlsbad, CA MSA",0
27614,METRO39580M39580,"Raleigh, NC MSA",0
92173,METRO41740M41740,"San Diego-Carlsbad, CA MSA",0
37921,METRO28940M28940,"Knoxville, TN HUD Metro FMR Area",0
10941,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA",0
27523,METRO39580M39580,"Raleigh, NC MSA",0
48104,METRO11460M11460,"Ann Arbor, MI MSA",0
72132,METRO30780N05053,"Grant County, AR HUD Metro FMR Area",0
29369,METRO43900M43900,"Spartanburg, SC MSA",0
25855,METRO13220N54019,"Fayette County, WV HUD Metro FMR Area",0
95688,METRO46700M46700,"Vallejo-Fairfield, CA MSA",0
4040,METRO38860N23005,"Cumberland County, ME (part) HUD Metro FMR Area",0
74421,METRO46140N40111,"Okmulgee County, OK HUD Metro FMR Area",0
48662,METRO33220M33220,"Midland, MI MSA",0
73061,METRO46140N40117,"Pawnee County, OK HUD Metro FMR Area",0
30161,METRO40660M40660,"Rome, GA MSA",0
1930,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",0
30125,METRO40660M40660,"Rome, GA MSA",0
77539,METRO26420M26420,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area",0
8876,METRO35620MM5015,"Middlesex-Somerset-Hunterdon, NJ HUD Metro FMR Area",0
77302,METRO26420M26420,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area",0
8835,METRO35620MM5015,"Middlesex-Somerset-Hunterdon, NJ HUD Metro FMR Area",0
87042,METRO10740M10740,"Albuquerque, NM MSA",0
71106,METRO43340M43340,"Shreveport-Bossier City, LA MSA",0
27572,METRO20500N37145,"Person County, NC HUD Metro FMR Area",0
22723,METRO47900M51113,"Madison County, VA HUD Metro FMR Area",0
15051,METRO38300M38300,"Pittsburgh, PA HUD Metro FMR Area",0
16024,METRO38300M38300,"Pittsburgh, PA HUD Metro FMR Area",0
1468,METRO49340MM2600,"Fitchburg-Leominster, MA HUD Metro FMR Area",0
